"New"	"English"	"On’yomi"
"慈"	"mercy"	"ジ, ji"
"態"	"condition"	"タイ, tai"
"慌"	"disconcerted"	"コウ, koo"
"慎"	"humility"	"シン, shin"
"慕"	"pining"	"ボ, bo"
"慢"	"ridicule"	"マン, man"
"慣"	"accustomed"	"カン, kan"
"慨"	"rue"	"ガイ, gai"
"慮"	"prudence"	"リョ, ryo"
"慰"	"consolation"	"イ, i"
"慶"	"jubilation"	"ケイ, kee"
"憂"	"melancholy"	"ユウ, yuu"
"憎"	"hate"	"ゾウ, zoo"
"憤"	"aroused"	"フン, fun"
"憩"	"recess"	"ケイ, kee"
"憲"	"constitution"	"ケン, ken"
"憶"	"recollection"	"オク, oku"
"憾"	"remorse"	"カン, kan"
"懇"	"sociable"	"コン, kon"
"懐"	"pocket"	"カイ, kai"
"懲"	"penal"	"チョウ, choo"
"懸"	"suspend"	"ケン, ケ, ken, ke"
"成"	"become"	"セイ, ジョウ, see, joo"
"我"	"ego"	"ガ, ga"
"戒"	"commandment"	"カイ, kai"
"戦"	"war"	"セン, sen"
"戯"	"frolic"	"ギ, gi"
"戸"	"door"	"コ, ko"
"戻"	"return"	"レイ, ree"
"房"	"tassel"	"ボウ, boo"
"所"	"place"	"ショ, sho"
"扇"	"fan"	"セン, sen"
"扉"	"front door"	"ヒ, hi"
"手"	"hand"	"シュ, shu"
"才"	"genius"	"サイ, sai"
"打"	"hit"	"ダ, da"
"払"	"pay"	"フツ, futsu"
"扱"	"handle"	"kyuu"
"扶"	"aid"	"フ, fu"
"批"	"criticism"	"ヒ, hi"
"承"	"acquiesce"	"ショウ, shoo"
"技"	"skill"	"ギ, gi"
"抄"	"extract"	"ショウ, shoo"
"把"	"grasp"	"ハ, ha"
"抑"	"repress"	"ヨク, yoku"
"投"	"throw"	"トウ, too"
"抗"	"confront"	"コウ, koo"
"折"	"fold"	"セツ, setsu"
"抜"	"slip out"	"バツ, batsu"
"択"	"choose"	"タク, taku"
"披"	"expose"	"ヒ, hi"
"抱"	"embrace"	"ホウ, hoo"
"抵"	"resist"	"テイ, tee"
"抹"	"rub"	"マツ, matsu"
"押"	"push"	"オウ, oo"
"抽"	"pluck"	"チュウ, chuu"
"担"	"shouldering"	"タン, tan"
"拍"	"clap"	"ハク-ヒョウ, haku-hyoo"
"拐"	"kidnap"	"カイ, kai"
"拒"	"repel"	"キョ, kyo"
"拓"	"clear"	"タク, taku"
"拘"	"arrest"	"コウ, koo"
"拙"	"bungling"	"セツ, setsu"
"招"	"beckon"	"ショウ, shoo"
"拝"	"worship"	"ハイ, hai"
"拠"	"foothold"	"キョ, kyo"
"拡"	"broaden"	"カク, kaku"
"括"	"fasten"	"カツ, katsu"
"拷"	"torture"	"ゴウ, goo"
"拾"	"pick up"	"シュウ, ジュウ, shuu, juu"
"持"	"hold"	"ジ, ji"
"指"	"finger"	"シ, shi"
"挑"	"challenge"	"チョウ, choo"
"挙"	"raise"	"キョ, kyo"
"挟"	"pinch"	"キョウ, kyoo"
"振"	"shake"	"シン, shin"
"挿"	"insert"	"ソウ, soo"
"捕"	"catch"	"ホ, ho"
"捜"	"search"	"ソウ, soo"
"捨"	"throw away"	"シャ, sha"
"据"	"install"	"kyo"
"掃"	"sweep"	"ソウ, soo"
"授"	"instruct"	"ジュ, ju"
"掌"	"manipulate"	"ショウ, shoo"
"排"	"repudiate"	"ハイ, hai"
"掘"	"dig"	"クツ, kutsu"
"掛"	"hang"	"kai,kei"
"採"	"pick"	"サイ, sai"
"探"	"grope"	"タン, tan"
"接"	"contact"	"セツ, setsu"
"控"	"withdraw"	"コウ, koo"
"推"	"infer"	"スイ, sui"
"措"	"set aside"	"ソ, so"
"掲"	"put up"	"ケイ, kee"
"描"	"sketch"	"ビョウ, byoo"
"提"	"present"	"テイ, tee"
"揚"	"hoist"	"ヨウ, yoo"
"換"	"interchange"	"カン, kan"
"握"	"grip"	"アク, aku"
"揮"	"brandish"	"キ, ki"
"援"	"aid"	"エン, en"
"揺"	"swing"	"ヨウ, yoo"
"損"	"loss"	"ソン, son"
"搬"	"conveyor"	"ハン, han"
"搭"	"board"	"トウ, too"
"携"	"portable"	"ケイ, kee"
"搾"	"squeeze"	"サク, saku"
"摂"	"vicarious"	"セツ, setsu"
"摘"	"pinch"	"テキ, teki"
"摩"	"chafe"	"マ, ma"
"撃"	"beat"	"ゲキ, geki"
"撤"	"remove"	"テツ, tetsu"
"撮"	"snapshot"	"サツ, satsu"
"撲"	"slap"	"ボク, boku"
"擁"	"embrace"	"ヨウ, yoo"
"操"	"maneuver"	"ソウ, soo"
"擦"	"grate"	"サツ, satsu"
"擬"	"mimic"	"ギ, gi"
"支"	"branch"	"シ, shi"
"改"	"reformation"	"カイ, kai"
"攻"	"aggression"	"コウ, koo"
"放"	"release"	"ホウ, hoo"
"政"	"politics"	"セイ, ショウ, see, shoo"
"故"	"circumstances"	"コ, ko"
"敏"	"cleverness"	"ビン, bin"
"救"	"salvation"	"キュウ, kyuu"
"敗"	"failure"	"ハイ, hai"
"教"	"teach"	"キョウ, kyoo"
"敢"	"daring"	"カン, kan"
"散"	"scatter"	"サン, san"
"敬"	"respect"	"ケイ, kee"
"数"	"number"	"スウ, ス, suu, su"
"整"	"put in order"	"セイ, see"
"敵"	"enemy"	"テキ, teki"
"敷"	"spread"	"フ, fu"
"文"	"writing"	"ブン, モン, bun, mon"
"斉"	"adjusted"	"セイ, see"
"斎"	"purification"	"サイ, sai"
"斗"	"Big Dipper"	"ト, to"
"料"	"fee"	"リョウ, ryoo"
"斜"	"diagonal"	"シャ, sha"
"斤"	"axe"	"キン, kin"
"斥"	"reject"	"セキ, seki"
"断"	"cut off"	"ダン, dan"
"新"	"new"	"シン, shin"
"方"	"direction"	"ホウ, hoo"
"施"	"carry out"	"シ, セ, shi, se"
"旅"	"trip"	"リョ, ryo"
"旋"	"rotation"	"セン, sショ、 ショウ、 ソ	en"
"族"	"tribe"	"ゾク, zoku"
"旗"	"flag"	"キ, ki"
"既"	"previously"	"キ, ki"
"日"	"day"	"ニチ, ジツ, nichi, jitsu"
"旧"	"olden times"	"キュウ, kyuu"
"旨"	"delicious"	"シ, shi"
"早"	"early"	"ソウ, サッ, soo, sa'"
"旬"	"10-day period"	"ジュン, jun"
"昆"	"descendants"	"コン, kon"
"昇"	"rise up"	"ショウ, shoo"
"明"	"bright"	"メイ, ミョウ, mee, myoo"
"易"	"easy"	"エキ, イ, eki, i"
"昔"	"long ago"	"セキ, シャク, seki, shaku"
"星"	"star"	"セイ, ショウ, see, shoo"
"映"	"reflect"	"エイ, ee"
"春"	"springtime"	"シュン, shun"
"昨"	"previous"	"サク, saku"
"昭"	"shining"	"ショウ, shoo"
"是"	"just so"	"ゼ, ze"
"昼"	"daytime"	"チュウ, chuu"
"時"	"time"	"ジ, ji"
"晩"	"nightfall"	"バン, ban"
"普"	"universal"	"フ, fu"
"景"	"scenery"	"ケイ, kee"
"晴"	"clear up"	"セイ, see"
"晶"	"sparkle"	"ショウ, shoo"
"暁"	"daybreak"	"ギョウ, gyoo"
"暇"	"spare time"	"カ, ka"
"暑"	"hot"	"ショ, sho"
"暖"	"warmth"	"ダン, dan"
"暗"	"dark"	"アン, an"
"暦"	"calendar"	"レキ, reki"
"暫"	"temporarily"	"ザン, zan"
"暮"	"livelihood"	"ボ, bo"
"暴"	"outburst"	"ボウ, バク, boo, baku"
"曇"	"cloudy weather"	"ドン, don"
"曜"	"weekday"	"ヨウ, yoo"
"曲"	"musical composition"	"キョク, kyoku"
"更"	"grow late"	"コウ, koo"
"書"	"write"	"ショ, sho"
"曹"	"cadet"	"ソウ, soo"
"替"	"exchange"	"タイ, tai"
"最"	"most"	"サイ, sai"
"月"	"month, moon"	"ゲツ, ガツ, getsu, gatsu"
"有"	"have"	"ユウ, ウ, yuu, u"
"服"	"clothes"	"フク, fuku"
"朕"	"majestic plural"	"チン, chin"
"朗"	"melodious"	"ロウ, roo"
"望"	"hope"	"ボウ, モウ, boo, moo"
"朝"	"morning"	"チョウ, choo"
"期"	"date"	"キ, ゴ, ki, go"
"木"	"tree"	"ボク, モク, boku, moku"
"未"	"not yet"	"ミ, mi"
"末"	"end"	"マツ, バツ, matsu, batsu"
"本"	"book"	"ホン, hon"
"札"	"tag"	"サツ, satsu"
"朱"	"vermilion"	"シュ, shu"
"朴"	"crude"	"ボク, boku"
"机"	"desk"	"キ, ki"
"朽"	"decay"	"キュウ, kyuu"
"杉"	"cedar"	"san"
"材"	"lumber"	"ザイ, zai"
"村"	"village"	"ソン, son"
"束"	"bundle"	"ソク, soku"
"条"	"clause"	"ジョウ, joo"
"来"	"come"	"ライ, rai"
"杯"	"cupful"	"ハイ, hai"
"東"	"east"	"トウ, too"
"松"	"pine"	"ショウ, shoo"
"板"	"board"	"ハン, バン, han, ban"
"析"	"chop"	"セキ, seki"
"林"	"woods"	"リン, rin"
"枚"	"sheet"	"マイ, mai"
"果"	"fruit"	"カ, ka"
"枝"	"branch"	"シ, shi"
"枠"	"frame"	
"枢"	"hinge"	"スウ, suu"
"枯"	"wither"	"コ, ko"
"架"	"rack"	"カ, ka"
"柄"	"design"	"ヘイ, hee"
"某"	"so-and-so"	"ボウ, boo"
"染"	"dye"	"セン, sen"
"柔"	"tender"	"ジュウ, ニュウ, juu, nyuu"
"柱"	"pillar"	"チュウ, chuu"
"柳"	"willow"	"リュウ, ryuu"
"査"	"investigate"	"サ, sa"
"栄"	"prosperity"	"エイ, ee"
"栓"	"plug"	"セン, sen"
"校"	"school"	"コウ, koo"
"株"	"stocks"	
"核"	"nucleus"	"カク, kaku"
"根"	"root"	"コン, kon"
"格"	"status"	"カク, コウ, kaku, koo"
"栽"	"plantation"	"サイ, sai"
"桃"	"peach tree"	"トウ, too"
"案"	"plan"	"アン, an"
"桑"	"mulberry"	"ソウ, soo"
"桜"	"cherry tree"	"オウ, oo"
"桟"	"scaffold"	"サン, san"
"梅"	"plum"	"バイ, bai"
"械"	"contraption"	"カイ, kai"
"棄"	"abandon"	"キ, ki"
"棋"	"chess"	"キ, ki"
"棒"	"rod"	"ボウ, boo"
"棚"	"shelf"	
"棟"	"ridgepole"	"トウ, too"
"森"	"forest"	"シン, shin"
"棺"	"coffin"	"カン, kan"
"植"	"plant"	"ショク, shoku"
"検"	"examine"	"ケン, ken"
"業"	"business"	"ギョウ, ゴウ, gyoo, goo"
"極"	"poles"	"キョク, ゴク, kyoku, goku"
"楼"	"watchtower"	"ロウ, roo"
"楽"	"pleasure"	"ガク, ラク, gaku, raku"
"概"	"outline"	"ガイ, gai"
"構"	"construct"	"コウ, koo"
"様"	"honorable"	"ヨウ, yoo"
"槽"	"vat"	"ソウ, soo"
"標"	"signpost"	"ヒョウ, hyoo"
"模"	"imitation"	"モ, ボ, mo, bo"
"権"	"rights"	"ケン, ゴン, ken, gon"
"横"	"side"	"オウ, oo"
"樹"	"trees"	"ジュ, ju"
"橋"	"bridge"	"キョウ, kyoo"
"機"	"machine"	"キ, ki"
"欄"	"column"	"ラン, ran"
"欠"	"lack"	"ケツ, ketsu"
"次"	"next"	"ジ, シ, ji, shi"
"欧"	"Europe"	"オウ, oo"
"欲"	"longing"	"ヨク, yoku"
"欺"	"deceit"	"ギ, gi"
"款"	"goodwill"	"カン, kan"
"歌"	"song"	"カ, ka"
"歓"	"delight"	"カン, kan"
"止"	"stop"	"シ, shi"
"正"	"correct"	"セイ, ショウ, see, shoo"
"武"	"military"	"ブ, ム, bu, mu"
"歩"	"walk"	"ホ, ブ, フ, ho, bu, fu"
"歯"	"tooth"	"シ, shi"
"歳"	"year-end"	"サイ-セイ, sai-see"
"歴"	"curriculum"	"レキ, reki"
"死"	"death"	"シ, shi"
"殉"	"martyr"	"ジュン, jun"
"殊"	"particularly"	"シュ, shu"
"残"	"remainder"	"ザン, zan"
"殖"	"augment"	"ショク, shoku"
"殴"	"assault"	"オウ, oo"
"段"	"steps"	"ダン, dan"
"殺"	"kill"	"サツ, サイ, セツ, satsu, sai, setsu"
"殻"	"husk"	"カク, kaku"
"殿"	"Mr."	"デン, テン, den, ten"
"母"	"mother"	"ボ, bo"
"毎"	"every"	"マイ, mai"
"毒"	"poison"	"ドク, doku"
"比"	"compare"	"ヒ, hi"
"毛"	"hair"	"モウ, moo"
"氏"	"family name"	"シ, shi"
"民"	"people"	"ミン, min"
"気"	"feeling"	"キ, ケ, ki, ke"
"水"	"water"	"スイ, sui"
"氷"	"ice"	"ヒョウ, hyoo"
"永"	"eternity"	"エイ, ee"
"汁"	"soup"	"ジュウ, juu"
"求"	"request"	"キュウ, kyuu"
"汗"	"sweat"	"カン, kan"
"汚"	"dirty"	"オ, o"
"江"	"inlet"	"コウ, koo"
"池"	"pond"	"チ, chi"
"決"	"decide"	"ケツ, ketsu"
"汽"	"steam"	"キ, ki"
"沈"	"sink"	"チン, chin"
"沖"	"open sea"	"チュウ, chuu"
"没"	"drown"	"ボツ, botsu"
"沢"	"swamp"	"タク, taku"
"河"	"river"	"カ, ka"
"沸"	"seethe"	"フツ, futsu"
"油"	"oil"	"ユ, yu"
"治"	"govern"	"ジ, チ, ji, chi"
"沼"	"marsh"	"ショウ, shoo"
"沿"	"run alongside"	"エン, en"
"況"	"condition"	"キョウ, kyoo"
"泉"	"spring"	"セン, sen"
"泊"	"overnight"	"ハク, haku"
"泌"	"ooze"	"ヒツ, ヒ, hitsu, hi"
"法"	"method"	"ホウ, ハッ, ホッ, hoo, ha', ho'"
"泡"	"bubbles"	"ホウ, hoo"
"波"	"wave"	"ハ, ha"
"泣"	"cry"	"キュウ, kyuu"
"泥"	"mud"	"デイ, dee"
"注"	"pour"	"チュウ, chuu"
"泰"	"peaceful"	"タイ, tai"
"泳"	"swim"	"エイ, ee"
"洋"	"ocean"	"ヨウ, yoo"
"洗"	"wash"	"セン, sen"
"洞"	"den"	"ドウ, doo"
"津"	"haven"	"シン, shin"
"洪"	"deluge"	"コウ, koo"
"活"	"active"	"カツ, katsu"
"派"	"sect"	"ハ, ha"
"流"	"stream"	"リュウ, ル, ryuu, ru"
"浄"	"clean"	"ジョウ, joo"
"浅"	"shallow"	"セン, sen"
"浜"	"seacoast"	"ヒン, hin"
"浦"	"bay"	"ホ, ho"
"浪"	"wandering"	"ロウ, roo"
"浮"	"floating"	"フ, fu"
"浴"	"bathe"	"ヨク, yoku"
"海"	"sea"	"カイ, kai"
"浸"	"wet"	"シン, shin"
"消"	"extinguish"	"ショウ, shoo"
"涙"	"tears"	"ルイ, rui"
"涯"	"horizon"	"ガイ, gai"
"液"	"fluid"	"エキ, eki"
"涼"	"refreshing"	"リョウ, ryoo"
"淑"	"graceful"	"シュク, shuku"
"淡"	"thin"	"タン, tan"
"深"	"deep"	"シン, shin"
"混"	"mix"	"コン, kon"
"添"	"annexed"	"テン, ten"
"清"	"pure"	"セイ, ショウ, see, shoo"
"渇"	"thirst"	"カツ, katsu"
"済"	"settle"	"サイ, sai"
"渉"	"ford"	"ショウ, shoo"
"渋"	"astringent"	"ジュウ, juu"
"渓"	"mountain stream"	"ケイ, kee"
"減"	"decrease"	"ゲン, gen"
"渡"	"transit"	"ト, to"
"渦"	"whirlpool"	"カ, ka"
"温"	"warm"	"オン, on"
"測"	"fathom"	"ソク, soku"
"港"	"harbor"	"コウ, koo"
"湖"	"lake"	"コ, ko"
"湯"	"hot water"	"トウ, too"
"湾"	"gulf"	"ワン, wan"
"湿"	"damp"	"シツ, shitsu"
"満"	"full"	"マン, man"
"源"	"origin"	"ゲン, gen"
"準"	"standard"	"ジュン, jun"
"溝"	"gutter"	"コウ, koo"
"溶"	"melt"	"ヨウ, yoo"
"滅"	"destroy"	"メツ, metsu"
"滋"	"nourishing"	"ジ, ji"
"滑"	"slippery"	"カツ, katsu"
"滝"	"waterfall"	
"滞"	"stagnate"	"タイ, tai"
"滴"	"drip"	"テキ, teki"
"漁"	"fishing"	"ギョ, リョウ, gyo, ryoo"
"漂"	"drift"	"ヒョウ, hyoo"
"漆"	"lacquer"	"シツ, shitsu"
"漏"	"leak"	"ロウ, roo"
"演"	"perform"	"エン, en"
"漠"	"vague"	"バク, baku"
"漢"	"China"	"カン, kan"
"漫"	"cartoon"	"マン, man"
"漬"	"pickling"	
"漸"	"steadily"	"ゼン, zen"
"潔"	"undefiled"	"ケツ, ketsu"
"潜"	"submerge"	"セン, sen"
"潟"	"lagoon"	
"潤"	"wet"	"ジュン, jun"
"潮"	"tide"	"チョウ, choo"
"澄"	"lucidity"	"チョウ, choo"
"激"	"violent"	"ゲキ, geki"
"濁"	"voiced"	"ダク, daku"
"濃"	"concentrated"	"ノウ, noo"
"濫"	"excessive"	"ラン, ran"
"濯"	"laundry"	"タク, taku"
"瀬"	"rapids"	
"火"	"fire"	"カ, ka"
"灯"	"lamp"	"トウ, too"
"灰"	"ashes"	"カイ, kai"
"災"	"disaster"	"サイ, sai"
"炉"	"hearth"	"ロ, ro"
"炊"	"cook"	"スイ, sui"
"炎"	"inflammation"	"エン, en"
"炭"	"charcoal"	"タン, tan"
"点"	"point"	"テン, ten"
"為"	"do"	"イ, i"
"烈"	"ardent"	"レツ, retsu"
"無"	"nothing"	"ム, ブ, mu, bu"
"焦"	"char"	"ショウ, shoo"
"然"	"so"	"ゼン, ネン, zen, nen"
"焼"	"bake"	"ショウ, shoo"
"煙"	"smoke"	"エン, en"
"照"	"illuminate"	"ショウ, shoo"
"煩"	"anxiety"	"ハン, ボン, han, bon"
"煮"	"boil"	"シャ, sha"
"熟"	"ripen"	"ジュク, juku"
"熱"	"heat"	"ネツ, netsu"
"燃"	"burn"	"ネン, nen"
"燥"	"parch"	"ソウ, soo"
"爆"	"explode"	"バク, baku"
"爵"	"baron"	"シャク, shaku"
"父"	"father"	"フ, fu"
"片"	"one-sided"	"ヘン, hen"
"版"	"printing block"	"ハン, han"
"牛"	"cow"	"ギュウ, gyuu"
"牧"	"breed"	"ボク, boku"
"物"	"thing"	"ブツ, モツ, butsu, motsu"
"牲"	"animal sacrifice"	"セイ, see"
"特"	"special"	"トク, toku"
"犠"	"sacrifice"	"ギ, gi"
"犬"	"dog"	"ケン, ken"
"犯"	"crime"	"ハン, han"
"状"	"form"	"ジョウ, joo"
"狂"	"lunatic"	"キョウ, kyoo"
"狩"	"hunt"	"シュ, shu"
"独"	"alone"	"ドク, doku"
"狭"	"cramped"	"キョウ, kyoo"
"猛"	"fierce"	"モウ, moo"
"猟"	"hunt"	"リョウ, ryoo"
"猫"	"cat"	"ビョウ, byoo"
"献"	"offering"	"ケン, コン, ken, kon"
"猶"	"furthermore"	"ユウ, yuu"
"猿"	"monkey"	"エン, en"
"獄"	"prison"	"ゴク, goku"
"獣"	"animal"	"ジュウ, juu"
"獲"	"seize"	"カク, kaku"
"玄"	"mysterious"	"ゲン, gen"
"率"	"rate"	"ソツ, リツ, sotsu, ritsu"
"玉"	"ball"	"ギョク, gyoku"
"王"	"king"	"オウ, oo"
"珍"	"rare"	"チン, chin"
"珠"	"pearl"	"シュ, shu"
"班"	"squad"	"ハン, han"
"現"	"appear"	"ゲン, gen"
"球"	"sphere"	"キュウ, kyuu"
"理"	"reason"	"リ, ri"
"琴"	"harp"	"キン, kin"
"環"	"ring"	"カン, kan"
"璽"	"emperor's seal"	"ジ, ji"
"瓶"	"flower pot"	"ビン, bin"
"甘"	"sweet"	"カン, kan"
"甚"	"tremendously"	"ジン, jin"
"生"	"life"	"セイ, ショウ, see, shoo"
"産"	"give birth"	"サン, san"
"用"	"use"	"ヨウ, yoo"
"田"	"rice paddy"	"デン, den"
"由"	"reason"	"ユ, ユウ, ユイ, yu, yuu, yui"
"甲"	"armor"	"コウ, カン, koo, kan"
"申"	"say"	"シン, shin"
"男"	"male"	"ダン, ナン, dan, nan"
"町"	"village"	"チョウ, choo"
"画"	"tableau"	"ガ, カク, ga, kaku"
"界"	"world"	"カイ, kai"
"畑"	"farm"	
"畔"	"paddy-ridge"	"ハン, han"
"留"	"detain"	"リュウ, ル, ryuu, ru"
"畜"	"livestock"	"チク, chiku"
"畝"	"furrow"	
"略"	"abbreviation"	"リャク, ryaku"
"番"	"turn"	"バン, ban"
"異"	"uncommon"	"イ, i"
"畳"	"tatami mat"	"ジョウ, joo"
"疎"	"alienate"	"ソ, so"
"疑"	"doubt"	"ギ, gi"
"疫"	"epidemic"	"エキ, ヤク, eki, yaku"
"疲"	"exhausted"	"ヒ, hi"
"疾"	"rapidly"	"シツ, shitsu"
"病"	"sick"	"ビョウ, ヘイ, byoo, hee"
"症"	"symptoms"	"ショウ, shoo"
"痘"	"pox"	"トウ, too"
"痛"	"pain"	"ツウ, tsuu"
"痢"	"diarrhea"	"リ, ri"
"痴"	"stupid"	"チ, chi"
"療"	"heal"	"リョウ, ryoo"
"癒"	"healing"	"ユ, yu"
"癖"	"mannerism"	"ヘキ, heki"
"発"	"departure"	"ハツ, ホツ, hatsu, hotsu"
"登"	"climb"	"トウ, ト, too, to"
"白"	"white"	"ハク, ビャク, haku, byaku"
"百"	"hundred"	"ヒャク, hyaku"
"的"	"target"	"テキ, teki"
"皆"	"all"	"カイ, kai"
"皇"	"emperor"	"コウ, オウ, koo, oo"
"皮"	"skin"	"ヒ, hi"
"皿"	"dish"	"bei"
"盆"	"basin"	"ボン, bon"
"益"	"benefit"	"エキ, ヤク, eki, yaku"
"盗"	"steal"	"トウ, too"
"盛"	"prosper"	"セイ, ジョウ, see, joo"
"盟"	"alliance"	"メイ, mee"
"監"	"oversee"	"カン, kan"
"盤"	"tray"	"バン, ban"
"目"	"eye"	"モク, ボク, moku, boku"
"盲"	"blind"	"モウ, moo"
"直"	"straight"	"チョク, ジキ, choku, jiki"
"相"	"mutual"	"ソウ, ショウ, soo, shoo"
"盾"	"shield"	"ジュン, jun"
"省"	"government ministry"	"セイ, ショウ, see, shoo"
"看"	"watch over"	"カン, kan"
"県"	"prefecture"	"ケン, ken"
"真"	"true"	"シン, shin"
"眠"	"sleep"	"ミン, min"
"眺"	"stare"	"チョウ, choo"
"眼"	"eyeball"	"ガン, ゲン, gan, gen"
"着"	"wear"	"チャク, ジャク, chaku, jaku"
"睡"	"drowsy"	"スイ, sui"
"督"	"coach"	"トク, toku"
"瞬"	"wink"	"シュン, shun"
"矛"	"halberd"	"ム, mu"
"矢"	"arrow"	"シ, shi"
"知"	"know"	"チ, chi"
"短"	"short"	"タン, tan"
"矯"	"rectify"	"キョウ, kyoo"
"石"	"stone"	"セキ, シャク, コク, seki, shaku, koku"
"砂"	"sand"	"サ, シャ, sa, sha"
"研"	"sharpen"	"ケン, ken"
"砕"	"smash"	"サイ, sai"
"砲"	"cannon"	"ホウ, hoo"
"破"	"rend"	"ハ, ha"
"硝"	"nitrate"	"ショウ, shoo"
"硫"	"sulphur"	"リュウ, ryuu"
"硬"	"stiff"	"コウ, koo"
"碁"	"Go"	"ゴ, go"
"碑"	"tombstone"	"ヒ, hi"
"確"	"certain"	"カク, kaku"
"磁"	"magnet"	"ジ, ji"
"磨"	"grind"	"マ, ma"
"礁"	"reef"	"ショウ, shoo"
"礎"	"cornerstone"	"ソ, so"
"示"	"indicate"	"ジ, シ, ji, shi"
"礼"	"thanks"	"レイ, ライ, ree, rai"
"社"	"company"	"シャ, sha"
"祈"	"pray"	"キ, ki"
"祉"	"welfare"	"シ, shi"
"祖"	"ancestor"	"ソ, so"
"祝"	"celebrate"	"シュク, シュウ, shuku, shuu"
"神"	"God"	"シン, ジン, shin, jin"
"祥"	"auspicious"	"ショウ, shoo"
"票"	"ballot"	"ヒョウ, hyoo"
"祭"	"festival"	"サイ, sai"
"禁"	"prohibition"	"キン, kin"
"禅"	"Zen"	"ゼン, zen"
"禍"	"calamity"	"カ, ka"
"福"	"luck"	"フク, fuku"
"秀"	"excel"	"シュウ, shuu"
"私"	"me"	"シ, shi"
"秋"	"autumn"	"シュウ, shuu"
"科"	"section"	"カ, ka"
"秒"	"second"	"ビョウ, byoo"
"秘"	"secret"	"ヒ, hi"
"租"	"tariff"	"ソ, so"
"秩"	"regularity"	"チツ, chitsu"
"称"	"appellation"	"ショウ, shoo"
"移"	"shift"	"イ, i"
"程"	"extent"	"テイ, tee"
"税"	"tax"	"ゼイ, zee"
"稚"	"immature"	"チ, chi"
"種"	"kind"	"シュ, shu"
"稲"	"rice plant"	"トウ, too"
"稼"	"earnings"	"カ, ka"
"稿"	"draft"	"コウ, koo"
"穀"	"cereals"	"コク, koku"
"穂"	"ear"	"スイ, sui"
"積"	"accumulate"	"セキ, seki"
"穏"	"calm"	"オン, on"
"穫"	"harvest"	"カク, kaku"
"穴"	"hole"	"ケツ, ketsu"
"究"	"research"	"キュウ, kyuu"
"空"	"sky"	"クウ, kuu"
"突"	"stab"	"トツ, totsu"
"窃"	"stealth"	"セツ, setsu"
"窒"	"plug up"	"チツ, chitsu"
"窓"	"window"	"ソウ, soo"
"窮"	"hard up"	"キュウ, kyuu"
"窯"	"kiln"	"ヨウ, yoo"
"立"	"stand up"	"リツ, リュウ, ritsu, ryuu"
"竜"	"dragon"	"リュウ, ryuu"
"章"	"chapter"	"ショウ, shoo"
"童"	"juvenile"	"ドウ, doo"
"端"	"edge"	"タン, tan"
"競"	"compete"	"キョウ, ケイ, kyoo, kee"
"竹"	"bamboo"	"チク, chiku"
"笑"	"laugh"	"ショウ, shoo"
"笛"	"flute"	"テキ, teki"
"符"	"token"	"フ, fu"
"第"	"ordinal number prefix"	"ダイ, dai"
"筆"	"writing brush"	"ヒツ, hitsu"
"等"	"class"	"トウ, too"
"筋"	"muscle"	"キン, kin"
"筒"	"cylinder"	"トウ, too"
"答"	"answer"	"トウ, too"
"策"	"scheme"	"サク, saku"
"箇"	"counters for things"	"カ, ka"
"算"	"calculate"	"サン, san"
"管"	"pipe"	"カン, kan"
"箱"	"box"	"sou"
"節"	"node"	"セツ, セチ, setsu, sechi"
"範"	"pattern"	"ハン, han"
"築"	"fabricate"	"チク, chiku"
"篤"	"fervent"	"トク, toku"
"簡"	"simplicity"	"カン, kan"
"簿"	"register"	"ボ, bo"
"籍"	"enroll"	"セキ, seki"
"米"	"rice"	"ベイ, マイ, bee, mai"
"粉"	"flour"	"フン, fun"
"粋"	"chic"	"スイ, sui"
"粒"	"grains"	"リュウ, ryuu"
"粗"	"coarse"	"ソ, so"
"粘"	"sticky"	"ネン, nen"
"粛"	"solemn"	"シュク, shuku"
"粧"	"cosmetics"	"ショウ, shoo"
"精"	"refined"	"セイ, ショウ, see, shoo"
"糖"	"sugar"	"トウ, too"
"糧"	"provisions"	"リョウ, ロウ, ryoo, roo"
"糸"	"thread"	"シ, shi"
"系"	"lineage"	"ケイ, kee"
"糾"	"twist"	"キュウ, kyuu"
"紀"	"chronicle"	"キ, ki"
"約"	"promise"	"ヤク, yaku"
"紅"	"deep red"	"コウ, ク, koo, ku"
"紋"	"family crest"	"モン, mon"
"納"	"settlement"	"ノウ, ナッ, ナ, ナン, トウ, noo, na', na, nan, too"
"純"	"genuine"	"ジュン, jun"
"紙"	"paper"	"シ, shi"
"級"	"rank"	"キュウ, kyuu"
"紛"	"distract"	"フン, fun"
"素"	"elementary"	"ソ, ス, so, su"
"紡"	"spinning"	"ボウ, boo"
"索"	"cord"	"サク, saku"
"紫"	"purple"	"シ, shi"
"累"	"accumulate"	"ルイ, rui"
"細"	"thin"	"サイ, sai"
"紳"	"sire"	"シン, shin"
"紹"	"introduce"	"ショウ, shoo"
"紺"	"dark blue"	"コン, kon"
"終"	"end"	"シュウ, shuu"
"組"	"association"	"ソ, so"
"経"	"manage"	"ケイ, キョウ, kee, kyoo"
"結"	"tie"	"ケツ, ketsu"
"絞"	"strangle"	"コウ, koo"
"絡"	"entwine"	"ラク, raku"
"給"	"salary"	"キュウ, kyuu"
"統"	"unite"	"トウ, too"
